kota_administrasi,kecamatan,jumlah_rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air,tahun,bulan
Jakarta Barat,Cengkareng,61,485,2044,340227,639151,8,0,0,0,56960,28989,132,0,200,2013,1
Jakarta Barat,Grogol Petamburan,17,50,174,1713,3162,3,0,0,0,1851,860,42,0,120,2013,1
Jakarta Barat,Kalideres,17,48,115,1102,1655,0,0,0,0,2391,770,30,0,60,2013,1
Jakarta Barat,Kebon Jeruk,23,85,361,24368,89443,1,0,0,0,200,200,9,0,150,2013,1
Jakarta Barat,Kembangan,13,66,157,13086,52167,0,0,0,0,0,0,14,0,100,2013,1
Jakarta Barat,Palmerah,15,55,145,11955,27837,4,0,0,0,20103,6701,65,0,150,2013,1
Jakarta Barat,Taman Sari,21,71,21,0,0,2,0,0,0,659,446,53,0,120,2013,1
Jakarta Barat,Tambora,55,192,114,97,453,3,0,0,0,12702,4383,157,0,150,2013,1
Jakarta Pusat,Gambir,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2013,1
Jakarta Pusat,Johar Baru,5,15,33,0,0,0,0,0,0,0,0,0,0,55,2013,1
Jakarta Pusat,Sawah Besar,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2013,1
Jakarta Pusat,Tanah Abang,8,33,132,6806,23134,1,0,0,0,3804,1268,18,0,60,2013,1
Jakarta Selatan,Cilandak,6,20,23,533,2194,0,0,0,0,130,65,4,0,150,2013,1
Jakarta Selatan,Jagakarsa,4,16,24,152,1301,0,0,0,0,1479,654,0,0,100,2013,1
Jakarta Selatan,Kebayoran Baru,3,19,38,1948,6978,1,0,0,0,0,0,0,0,100,2013,1
Jakarta Selatan,Kebayoran Lama,3,14,18,1192,4036,0,0,0,0,113,48,0,0,135,2013,1
Jakarta Selatan,Pancoran,7,57,184,7764,23177,1,0,0,0,3077,1263,30,0,200,2013,1
Jakarta Selatan,Pasar Minggu,14,61,57,5061,14587,0,0,0,0,240,60,4,0,150,2013,1
Jakarta Selatan,Pesanggrahan,9,36,59,1691,4604,0,0,0,0,600,150,16,0,160,2013,1
Jakarta Selatan,Setiabudi,0,0,0,0,0,0,0,0,0,660,660,4,0,0,2013,1
Jakarta Selatan,Tebet,8,50,288,7880,61692,2,0,0,0,3196,1151,45,0,300,2013,1
Jakarta Timur,Cakung,9,27,91,6225,14472,0,0,0,0,0,0,7,0,120,2013,1
Jakarta Timur,Cipayung,2,6,6,24,84,1,0,0,0,0,0,0,0,50,2013,1
Jakarta Timur,Ciracas,3,9,27,383,2148,0,0,0,0,0,0,6,0,80,2013,1
Jakarta Timur,Duren Sawit,10,30,56,474,201,0,0,0,0,0,0,0,0,90,2013,1
Jakarta Timur,Jatinegara,19,157,961,38794,104461,6,0,0,0,24343,4012,164,0,400,2013,1
Jakarta Timur,Kramat Jati,21,108,482,18170,60705,0,0,0,0,18159,6783,85,0,300,2013,1
Jakarta Timur,Makasar,20,57,261,3758,798,0,0,0,0,0,0,14,0,110,2013,1
Jakarta Timur,Maraman,2,6,60,1178,8960,0,0,0,0,334,167,6,0,120,2013,1
Jakarta Timur,Pasar Rebo,3,9,10,234,644,0,0,0,0,0,0,3,0,100,2013,1
Jakarta Utara,Cilincing,43,215,40,0,39275,0,0,0,0,17575,4360,85,0,180,2013,1
Jakarta Utara,Kelapa Gading,14,84,0,0,0,0,0,0,0,0,0,0,0,40,2013,1
Jakarta Utara,Pademangan,25,51,1,265,1796,0,0,0,0,980,350,3,0,60,2013,1
Jakarta Utara,Penjaringan,51,170,316,9829,33467,5,0,0,0,37368,12385,52,0,250,2013,1
Jakarta Utara,Tanjung Priok,27,112,8,1255,3905,0,0,0,0,21818,7829,67,0,105,2013,1
Jakarta Barat,Cengkareng,4,5,11,259,808,0,0,0,0,0,0,0,0,20,2013,2
Jakarta Barat,Kebon Jeruk,9,14,42,5182,10453,0,0,0,0,0,0,4,0,70,2013,2
Jakarta Barat,Kembangan,4,4,6,0,0,0,0,0,0,0,0,0,0,100,2013,2
Jakarta Selatan,Cilandak,6,11,23,152,235,0,0,0,0,0,0,0,0,100,2013,2
Jakarta Selatan,Kebayoran Baru,4,16,0,0,0,0,0,0,0,0,0,0,0,140,2013,2
Jakarta Selatan,Kebayoran Lama,3,9,13,120,326,0,0,0,0,45,45,7,0,125,2013,2
Jakarta Selatan,Mampang Prapatan,7,13,14,0,0,0,0,0,0,0,0,0,0,50,2013,2
Jakarta Selatan,Pancoran,4,7,6,157,437,0,0,0,0,0,0,0,0,30,2013,2
Jakarta Selatan,Pasar Minggu,4,5,10,100,310,0,0,0,0,0,0,0,0,150,2013,2
Jakarta Selatan,Pesangrahan,5,11,10,538,982,0,0,0,0,350,350,4,0,175,2013,2
Jakarta Selatan,Tebet,7,21,86,813,3026,0,0,0,0,20,20,1,0,100,2013,2
Jakarta Timur,Jatinegara,14,60,308,11299,28773,0,0,0,0,480,305,4,0,350,2013,2
Jakarta Timur,Kramat Jati,12,35,91,557,1515,0,0,0,0,20,20,1,0,200,2013,2
Jakarta Timur,Pasar Rebo,1,1,0,0,0,0,0,0,0,0,0,0,0,20,2013,2
Jakarta Utara,Cilincing,2,2,0,0,0,0,0,0,0,0,0,0,0,10,2013,2
Jakarta Selatan,Pancoran,5,10,8,76,0,0,0,0,0,80,80,2,0,150,2013,3
Jakarta Selatan,Pasar Minggu,2,4,6,0,60,0,0,0,0,30,30,2,0,200,2013,3
Jakarta Selatan,Tebet,4,8,38,1776,6796,0,0,0,0,60,60,2,0,150,2013,3
Jakarta Timur,Jatinegara,14,27,146,5972,15595,0,0,0,0,386,386,8,0,250,2013,3
Jakarta Timur,Kramat Jati,10,19,71,1391,4569,0,0,0,0,1850,1850,20,0,250,2013,3
Jakarta Barat,Kebon Jeruk,3,8,36,2410,4918,0,0,0,0,0,0,0,0,60,2013,4
Jakarta Selatan,Cilandak,1,1,1,0,0,0,0,0,0,0,0,0,0,150,2013,4
Jakarta Selatan,Kebayoran Baru,3,3,0,0,0,0,0,0,0,0,0,0,0,35,2013,4
Jakarta Selatan,Mampang Prapatan,1,1,2,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Selatan,Pasar Minggu,5,5,20,0,0,0,0,0,0,198,198,3,0,95,2013,4
Jakarta Selatan,Pesangrahan,6,9,23,738,2282,0,0,0,0,245,120,4,0,80,2013,4
Jakarta Timur,Jatinegara,8,21,111,2856,7860,0,0,0,0,0,0,0,0,100,2013,4
Jakarta Timur,Kramat Jati,4,7,32,0,0,0,0,0,0,0,0,0,0,100,2013,4
Jakarta Timur,Makasar,1,1,1,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Timur,Pasar Rebo,5,10,0,0,0,0,0,0,0,0,0,0,0,50,2013,4
Jakarta Barat,Grogol Petamburan,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2013,5
Jakarta Barat,Kembangan,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2013,5
Jakarta Selatan,Kebayoran Baru,3,6,0,0,0,0,0,0,0,0,0,2,0,80,2013,5
Jakarta Selatan,Mampang Prapatan,22,34,144,559,2137,0,0,0,0,1245,1245,39,0,160,2013,5
Jakarta Selatan,Pancoran,1,3,3,0,0,0,0,0,0,0,0,0,0,20,2013,5
Jakarta Selatan,Pesangrahan,3,4,9,373,1364,0,0,0,0,0,0,1,0,100,2013,5
Jakarta Selatan,Tebet,3,9,24,0,0,0,0,0,0,0,0,0,0,120,2013,5
Jakarta Timur,Jatinegara,12,52,198,3808,14980,0,0,0,0,0,0,0,0,180,2013,5
Jakarta Timur,Kramat Jati,10,29,0,0,0,0,0,0,0,0,0,0,0,80,2013,5
Jakarta Timur,Makasar,2,2,0,0,0,0,0,0,0,0,0,0,0,60,2013,5
Jakarta Selatan,Pancoran,3,3,5,0,0,0,0,0,0,0,0,0,0,150,2013,6
Jakarta Timur,Jatinegara,3,3,0,0,0,0,0,0,0,0,0,0,0,150,2013,6
Jakarta Utara,Pademangan,14,31,5,0,0,0,0,0,0,0,0,0,0,60,2013,6
Jakarta Barat,Kembangan,1,3,0,0,0,0,0,0,0,0,0,0,0,40,2013,7
Jakarta Selatan,Pesangrahan,3,6,12,384,1078,0,0,0,0,170,120,5,0,100,2013,7
Jakarta Selatan,Tebet,2,3,6,240,1227,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Timur,Jatinegara,13,42,212,7646,20232,0,0,0,0,323,323,3,0,180,2013,7
Jakarta Utara,Pademangan Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Utara,Pademangan Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2013,7
Jakarta Utara,Tanjung Priok,3,2,0,0,0,0,0,0,0,0,0,0,0,60,2013,7
Jakarta Barat,Kebon Jeruk,1,1,0,0,0,0,0,0,0,0,0,0,0,50,2013,8
Jakarta Selatan,Cilandak,1,2,3,0,0,0,0,0,0,0,0,0,0,100,2013,8
Jakarta Selatan,Kebayoran Lama,3,4,6,317,1194,0,0,0,0,0,0,6,0,250,2013,8
Jakarta Selatan,Pesangrahan,9,11,30,1399,5804,0,0,0,0,800,400,4,0,100,2013,8
Jakarta Selatan,Tebet,1,1,2,285,0,0,0,0,0,0,0,0,0,70,2013,8
Jakarta Timur,Jatinegara,13,36,216,9734,25429,0,0,0,0,136,136,2,0,300,2013,8
Jakarta Timur,Kramat Jati,8,8,32,624,2399,0,0,0,0,0,0,0,0,250,2013,8
Jakarta Selatan,Cilandak,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2013,10
Jakarta Selatan,Pesanggarahan,1,1,2,0,0,0,0,0,0,0,0,0,0,40,2013,10
Jakarta Timur,Jatinegara,8,15,76,1969,5420,0,0,0,0,0,0,0,0,100,2013,10
Jakarta Timur,Kramat Jati,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2013,10
Jakarta Utara,Penjaringan,2,2,12,1669,6676,0,0,0,0,0,0,0,0,50,2013,10
Jakarta Barat,Cengkareng,3,3,10,0,0,0,0,0,0,0,0,0,0,80,2013,11
Jakarta Barat,Kembangan,2,5,87,312,227,2,0,0,0,71,71,2,0,80,2013,11
Jakarta Selatan,Kebayoran Baru,3,3,0,0,0,0,0,0,0,0,0,0,0,30,2013,11
Jakarta Selatan,Kebayoran Lama,4,7,31,141,350,0,0,0,0,0,0,0,0,120,2013,11
Jakarta Selatan,Mampang Prapatan,1,1,4,0,0,0,0,0,0,0,0,0,0,70,2013,11
Jakarta Selatan,Pesanggarahan,2,8,11,185,639,0,0,0,0,273,15,6,0,100,2013,11
Jakarta Timur,Jatinegara,13,57,245,5773,16851,0,0,0,0,0,0,0,0,100,2013,11
Jakarta Timur,Kramat Jati,1,1,1,80,300,0,0,0,0,0,0,0,0,70,2013,11
Jakarta Timur,Makasar,2,2,10,0,0,0,0,0,0,0,0,0,0,70,2013,11
